=== Task 6 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-2
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-2
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-2
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 35200 | step: 1100 | tokens: 576716800 | lr: 1.000e-02 | train/loss: 6.311e+00 | train/loss_avg: 6.535e+00 | train/ppl: 5.504e+02 | train/ppl_avg: 6.887e+02 | optim/grad_norm: 9.909e-01 | optim/update_norm: 2.579e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 36800 | step: 1150 | tokens: 602931200 | lr: 1.000e-02 | train/loss: 6.508e+00 | train/loss_avg: 6.493e+00 | train/ppl: 6.708e+02 | train/ppl_avg: 6.605e+02 | optim/grad_norm: 6.230e+00 | optim/update_norm: 2.839e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 38400 | step: 1200 | tokens: 629145600 | lr: 1.000e-02 | train/loss: 6.446e+00 | train/loss_avg: 6.495e+00 | train/ppl: 6.303e+02 | train/ppl_avg: 6.621e+02 | optim/grad_norm: 1.800e+00 | optim/update_norm: 2.705e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 40000 | step: 1250 | tokens: 655360000 | lr: 1.000e-02 | train/loss: 6.270e+00 | train/loss_avg: 6.471e+00 | train/ppl: 5.286e+02 | train/ppl_avg: 6.461e+02 | optim/grad_norm: 7.894e-01 | optim/update_norm: 2.562e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 41600 | step: 1300 | tokens: 681574400 | lr: 1.000e-02 | train/loss: 6.318e+00 | train/loss_avg: 6.439e+00 | train/ppl: 5.546e+02 | train/ppl_avg: 6.258e+02 | optim/grad_norm: 3.033e+00 | optim/update_norm: 2.958e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 43200 | step: 1350 | tokens: 707788800 | lr: 1.000e-02 | train/loss: 6.396e+00 | train/loss_avg: 6.430e+00 | train/ppl: 5.996e+02 | train/ppl_avg: 6.202e+02 | optim/grad_norm: 8.832e-01 | optim/update_norm: 2.672e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 44800 | step: 1400 | tokens: 734003200 | lr: 1.000e-02 | train/loss: 6.563e+00 | train/loss_avg: 6.412e+00 | train/ppl: 7.085e+02 | train/ppl_avg: 6.092e+02 | optim/grad_norm: 6.279e-01 | optim/update_norm: 2.683e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 46400 | step: 1450 | tokens: 760217600 | lr: 1.000e-02 | train/loss: 6.490e+00 | train/loss_avg: 6.409e+00 | train/ppl: 6.582e+02 | train/ppl_avg: 6.074e+02 | optim/grad_norm: 1.086e+00 | optim/update_norm: 2.457e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 48000 | step: 1500 | tokens: 786432000 | lr: 1.000e-02 | train/loss: 6.349e+00 | train/loss_avg: 6.379e+00 | train/ppl: 5.720e+02 | train/ppl_avg: 5.893e+02 | optim/grad_norm: 3.155e+00 | optim/update_norm: 2.662e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 49600 | step: 1550 | tokens: 812646400 | lr: 1.000e-02 | train/loss: 6.444e+00 | train/loss_avg: 6.375e+00 | train/ppl: 6.287e+02 | train/ppl_avg: 5.870e+02 | optim/grad_norm: 9.798e-01 | optim/update_norm: 2.726e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 51200 | step: 1600 | tokens: 838860800 | lr: 1.000e-02 | train/loss: 6.418e+00 | train/loss_avg: 6.368e+00 | train/ppl: 6.129e+02 | train/ppl_avg: 5.831e+02 | optim/grad_norm: 1.080e+00 | optim/update_norm: 2.580e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 52800 | step: 1650 | tokens: 865075200 | lr: 1.000e-02 | train/loss: 6.311e+00 | train/loss_avg: 6.335e+00 | train/ppl: 5.506e+02 | train/ppl_avg: 5.642e+02 | optim/grad_norm: 1.256e+00 | optim/update_norm: 2.569e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 54400 | step: 1700 | tokens: 891289600 | lr: 1.000e-02 | train/loss: 6.284e+00 | train/loss_avg: 6.325e+00 | train/ppl: 5.362e+02 | train/ppl_avg: 5.584e+02 | optim/grad_norm: 4.645e+00 | optim/update_norm: 2.492e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 56000 | step: 1750 | tokens: 917504000 | lr: 1.000e-02 | train/loss: 6.327e+00 | train/loss_avg: 6.308e+00 | train/ppl: 5.596e+02 | train/ppl_avg: 5.492e+02 | optim/grad_norm: 6.814e-01 | optim/update_norm: 2.452e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 57600 | step: 1800 | tokens: 943718400 | lr: 1.000e-02 | train/loss: 6.278e+00 | train/loss_avg: 6.308e+00 | train/ppl: 5.328e+02 | train/ppl_avg: 5.490e+02 | optim/grad_norm: 1.165e+00 | optim/update_norm: 2.588e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 59200 | step: 1850 | tokens: 969932800 | lr: 1.000e-02 | train/loss: 6.321e+00 | train/loss_avg: 6.321e+00 | train/ppl: 5.563e+02 | train/ppl_avg: 5.563e+02 | optim/grad_norm: 1.361e+01 | optim/update_norm: 2.511e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 60800 | step: 1900 | tokens: 996147200 | lr: 1.000e-02 | train/loss: 6.321e+00 | train/loss_avg: 6.290e+00 | train/ppl: 5.562e+02 | train/ppl_avg: 5.391e+02 | optim/grad_norm: 8.941e-01 | optim/update_norm: 2.651e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 62400 | step: 1950 | tokens: 1022361600 | lr: 1.000e-02 | train/loss: 6.243e+00 | train/loss_avg: 6.274e+00 | train/ppl: 5.143e+02 | train/ppl_avg: 5.305e+02 | optim/grad_norm: 9.905e-01 | optim/update_norm: 2.540e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 64000 | step: 2000 | tokens: 1048576000 | lr: 1.000e-02 | train/loss: 6.232e+00 | train/loss_avg: 6.287e+00 | train/ppl: 5.089e+02 | train/ppl_avg: 5.377e+02 | valid/loss: 6.262e+00 | valid/ppl: 5.245e+02 | optim/grad_norm: 2.351e+00 | optim/update_norm: 2.685e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 65600 | step: 2050 | tokens: 1074790400 | lr: 1.000e-02 | train/loss: 6.337e+00 | train/loss_avg: 6.292e+00 | train/ppl: 5.653e+02 | train/ppl_avg: 5.400e+02 | optim/grad_norm: 1.465e+00 | optim/update_norm: 2.742e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 67200 | step: 2100 | tokens: 1101004800 | lr: 1.000e-02 | train/loss: 6.296e+00 | train/loss_avg: 6.286e+00 | train/ppl: 5.426e+02 | train/ppl_avg: 5.369e+02 | optim/grad_norm: 3.212e+00 | optim/update_norm: 2.652e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
