=== Task 9 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-1
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-1
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-1
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 51200 | step: 1600 | tokens: 838860800 | lr: 3.000e-01 | train/loss: 4.337e+01 | train/loss_avg: 4.782e+01 | train/ppl: 6.825e+18 | train/ppl_avg: 5.851e+20 | optim/grad_norm: 2.869e+02 | optim/update_norm: 8.569e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 52800 | step: 1650 | tokens: 865075200 | lr: 3.000e-01 | train/loss: 4.450e+01 | train/loss_avg: 6.185e+01 | train/ppl: 2.121e+19 | train/ppl_avg: 7.241e+26 | optim/grad_norm: 1.868e+02 | optim/update_norm: 8.816e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 54400 | step: 1700 | tokens: 891289600 | lr: 3.000e-01 | train/loss: 4.617e+01 | train/loss_avg: 4.744e+01 | train/ppl: 1.127e+20 | train/ppl_avg: 4.023e+20 | optim/grad_norm: 9.406e+01 | optim/update_norm: 8.128e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 56000 | step: 1750 | tokens: 917504000 | lr: 3.000e-01 | train/loss: 4.393e+01 | train/loss_avg: 5.494e+01 | train/ppl: 1.203e+19 | train/ppl_avg: 7.275e+23 | optim/grad_norm: 2.158e+02 | optim/update_norm: 8.160e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 57600 | step: 1800 | tokens: 943718400 | lr: 3.000e-01 | train/loss: 4.406e+01 | train/loss_avg: 4.163e+01 | train/ppl: 1.360e+19 | train/ppl_avg: 1.203e+18 | optim/grad_norm: 2.545e+02 | optim/update_norm: 1.042e+03 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 59200 | step: 1850 | tokens: 969932800 | lr: 3.000e-01 | train/loss: 5.196e+01 | train/loss_avg: 5.631e+01 | train/ppl: 3.682e+22 | train/ppl_avg: 2.848e+24 | optim/grad_norm: 1.728e+02 | optim/update_norm: 8.626e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 60800 | step: 1900 | tokens: 996147200 | lr: 3.000e-01 | train/loss: 5.525e+01 | train/loss_avg: 5.840e+01 | train/ppl: 9.895e+23 | train/ppl_avg: 2.315e+25 | optim/grad_norm: 2.395e+02 | optim/update_norm: 7.692e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 62400 | step: 1950 | tokens: 1022361600 | lr: 3.000e-01 | train/loss: 3.590e+01 | train/loss_avg: 3.844e+01 | train/ppl: 3.893e+15 | train/ppl_avg: 4.954e+16 | optim/grad_norm: 1.957e+02 | optim/update_norm: 7.580e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 64000 | step: 2000 | tokens: 1048576000 | lr: 3.000e-01 | train/loss: 4.705e+01 | train/loss_avg: 7.449e+01 | train/ppl: 2.709e+20 | train/ppl_avg: 2.232e+32 | valid/loss: 4.863e+01 | valid/ppl: 1.313e+21 | optim/grad_norm: 3.462e+02 | optim/update_norm: 9.701e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 65600 | step: 2050 | tokens: 1074790400 | lr: 3.000e-01 | train/loss: 2.015e+02 | train/loss_avg: 6.271e+01 | train/ppl: 3.111e+87 | train/ppl_avg: 1.721e+27 | optim/grad_norm: 2.172e+02 | optim/update_norm: 8.656e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 67200 | step: 2100 | tokens: 1101004800 | lr: 3.000e-01 | train/loss: 1.461e+02 | train/loss_avg: 8.701e+01 | train/ppl: 2.716e+63 | train/ppl_avg: 6.167e+37 | optim/grad_norm: 2.374e+02 | optim/update_norm: 9.105e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 68800 | step: 2150 | tokens: 1127219200 | lr: 3.000e-01 | train/loss: 6.904e+01 | train/loss_avg: 1.060e+02 | train/ppl: 9.659e+29 | train/ppl_avg: 1.104e+46 | optim/grad_norm: 2.793e+02 | optim/update_norm: 7.420e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 70400 | step: 2200 | tokens: 1153433600 | lr: 3.000e-01 | train/loss: 1.125e+02 | train/loss_avg: 7.928e+01 | train/ppl: 7.403e+48 | train/ppl_avg: 2.692e+34 | optim/grad_norm: 3.521e+02 | optim/update_norm: 9.108e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 72000 | step: 2250 | tokens: 1179648000 | lr: 3.000e-01 | train/loss: 6.367e+01 | train/loss_avg: 8.920e+01 | train/ppl: 4.465e+27 | train/ppl_avg: 5.466e+38 | optim/grad_norm: 1.662e+02 | optim/update_norm: 8.631e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 73600 | step: 2300 | tokens: 1205862400 | lr: 3.000e-01 | train/loss: 7.437e+01 | train/loss_avg: 8.857e+01 | train/ppl: 1.990e+32 | train/ppl_avg: 2.910e+38 | optim/grad_norm: 4.654e+02 | optim/update_norm: 8.948e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 75200 | step: 2350 | tokens: 1232076800 | lr: 3.000e-01 | train/loss: 4.580e+01 | train/loss_avg: 6.861e+01 | train/ppl: 7.742e+19 | train/ppl_avg: 6.237e+29 | optim/grad_norm: 1.149e+02 | optim/update_norm: 8.515e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 76800 | step: 2400 | tokens: 1258291200 | lr: 3.000e-01 | train/loss: 5.926e+01 | train/loss_avg: 5.206e+01 | train/ppl: 5.458e+25 | train/ppl_avg: 4.050e+22 | optim/grad_norm: 2.178e+02 | optim/update_norm: 7.901e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
