=== Task 2 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-4
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 62400 | step: 1950 | tokens: 1022361600 | lr: 1.000e-04 | train/loss: 3.647e+00 | train/loss_avg: 3.653e+00 | train/ppl: 3.835e+01 | train/ppl_avg: 3.860e+01 | optim/grad_norm: 5.503e-01 | optim/update_norm: 3.835e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 64000 | step: 2000 | tokens: 1048576000 | lr: 1.000e-04 | train/loss: 3.560e+00 | train/loss_avg: 3.646e+00 | train/ppl: 3.516e+01 | train/ppl_avg: 3.833e+01 | valid/loss: 3.635e+00 | valid/ppl: 3.790e+01 | optim/grad_norm: 4.987e-01 | optim/update_norm: 3.863e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 65600 | step: 2050 | tokens: 1074790400 | lr: 1.000e-04 | train/loss: 3.619e+00 | train/loss_avg: 3.633e+00 | train/ppl: 3.732e+01 | train/ppl_avg: 3.783e+01 | optim/grad_norm: 5.127e-01 | optim/update_norm: 3.854e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 67200 | step: 2100 | tokens: 1101004800 | lr: 1.000e-04 | train/loss: 3.676e+00 | train/loss_avg: 3.620e+00 | train/ppl: 3.949e+01 | train/ppl_avg: 3.735e+01 | optim/grad_norm: 5.698e-01 | optim/update_norm: 3.841e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 68800 | step: 2150 | tokens: 1127219200 | lr: 1.000e-04 | train/loss: 3.512e+00 | train/loss_avg: 3.611e+00 | train/ppl: 3.352e+01 | train/ppl_avg: 3.699e+01 | optim/grad_norm: 4.777e-01 | optim/update_norm: 3.859e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 70400 | step: 2200 | tokens: 1153433600 | lr: 1.000e-04 | train/loss: 3.651e+00 | train/loss_avg: 3.596e+00 | train/ppl: 3.852e+01 | train/ppl_avg: 3.645e+01 | optim/grad_norm: 5.635e-01 | optim/update_norm: 3.898e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 72000 | step: 2250 | tokens: 1179648000 | lr: 1.000e-04 | train/loss: 3.499e+00 | train/loss_avg: 3.592e+00 | train/ppl: 3.309e+01 | train/ppl_avg: 3.630e+01 | optim/grad_norm: 5.007e-01 | optim/update_norm: 3.851e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 73600 | step: 2300 | tokens: 1205862400 | lr: 1.000e-04 | train/loss: 3.741e+00 | train/loss_avg: 3.577e+00 | train/ppl: 4.215e+01 | train/ppl_avg: 3.578e+01 | optim/grad_norm: 5.460e-01 | optim/update_norm: 3.917e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 75200 | step: 2350 | tokens: 1232076800 | lr: 1.000e-04 | train/loss: 3.643e+00 | train/loss_avg: 3.565e+00 | train/ppl: 3.819e+01 | train/ppl_avg: 3.533e+01 | optim/grad_norm: 4.865e-01 | optim/update_norm: 3.930e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
