=== Task 3 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-4
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 43200 | step: 1350 | tokens: 707788800 | lr: 3.000e-04 | train/loss: 3.807e+00 | train/loss_avg: 3.737e+00 | train/ppl: 4.500e+01 | train/ppl_avg: 4.197e+01 | optim/grad_norm: 2.811e-01 | optim/update_norm: 1.125e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 44800 | step: 1400 | tokens: 734003200 | lr: 3.000e-04 | train/loss: 3.728e+00 | train/loss_avg: 3.709e+00 | train/ppl: 4.159e+01 | train/ppl_avg: 4.080e+01 | optim/grad_norm: 2.828e-01 | optim/update_norm: 1.131e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 46400 | step: 1450 | tokens: 760217600 | lr: 3.000e-04 | train/loss: 3.807e+00 | train/loss_avg: 3.686e+00 | train/ppl: 4.501e+01 | train/ppl_avg: 3.988e+01 | optim/grad_norm: 3.139e-01 | optim/update_norm: 1.148e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 48000 | step: 1500 | tokens: 786432000 | lr: 3.000e-04 | train/loss: 3.733e+00 | train/loss_avg: 3.666e+00 | train/ppl: 4.182e+01 | train/ppl_avg: 3.911e+01 | optim/grad_norm: 2.766e-01 | optim/update_norm: 1.152e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 49600 | step: 1550 | tokens: 812646400 | lr: 3.000e-04 | train/loss: 3.586e+00 | train/loss_avg: 3.648e+00 | train/ppl: 3.608e+01 | train/ppl_avg: 3.839e+01 | optim/grad_norm: 2.825e-01 | optim/update_norm: 1.163e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 51200 | step: 1600 | tokens: 838860800 | lr: 3.000e-04 | train/loss: 3.646e+00 | train/loss_avg: 3.628e+00 | train/ppl: 3.830e+01 | train/ppl_avg: 3.762e+01 | optim/grad_norm: 2.723e-01 | optim/update_norm: 1.156e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 52800 | step: 1650 | tokens: 865075200 | lr: 3.000e-04 | train/loss: 3.556e+00 | train/loss_avg: 3.610e+00 | train/ppl: 3.502e+01 | train/ppl_avg: 3.696e+01 | optim/grad_norm: 2.652e-01 | optim/update_norm: 1.163e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 54400 | step: 1700 | tokens: 891289600 | lr: 3.000e-04 | train/loss: 3.679e+00 | train/loss_avg: 3.589e+00 | train/ppl: 3.960e+01 | train/ppl_avg: 3.621e+01 | optim/grad_norm: 2.367e-01 | optim/update_norm: 1.168e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 56000 | step: 1750 | tokens: 917504000 | lr: 3.000e-04 | train/loss: 3.548e+00 | train/loss_avg: 3.574e+00 | train/ppl: 3.476e+01 | train/ppl_avg: 3.567e+01 | optim/grad_norm: 2.918e-01 | optim/update_norm: 1.172e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 57600 | step: 1800 | tokens: 943718400 | lr: 3.000e-04 | train/loss: 3.507e+00 | train/loss_avg: 3.560e+00 | train/ppl: 3.336e+01 | train/ppl_avg: 3.517e+01 | optim/grad_norm: 2.320e-01 | optim/update_norm: 1.184e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 59200 | step: 1850 | tokens: 969932800 | lr: 3.000e-04 | train/loss: 3.459e+00 | train/loss_avg: 3.548e+00 | train/ppl: 3.180e+01 | train/ppl_avg: 3.476e+01 | optim/grad_norm: 2.517e-01 | optim/update_norm: 1.172e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 60800 | step: 1900 | tokens: 996147200 | lr: 3.000e-04 | train/loss: 3.589e+00 | train/loss_avg: 3.533e+00 | train/ppl: 3.619e+01 | train/ppl_avg: 3.423e+01 | optim/grad_norm: 2.397e-01 | optim/update_norm: 1.191e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 62400 | step: 1950 | tokens: 1022361600 | lr: 3.000e-04 | train/loss: 3.516e+00 | train/loss_avg: 3.516e+00 | train/ppl: 3.364e+01 | train/ppl_avg: 3.364e+01 | optim/grad_norm: 2.560e-01 | optim/update_norm: 1.193e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 64000 | step: 2000 | tokens: 1048576000 | lr: 3.000e-04 | train/loss: 3.422e+00 | train/loss_avg: 3.509e+00 | train/ppl: 3.064e+01 | train/ppl_avg: 3.342e+01 | valid/loss: 3.501e+00 | valid/ppl: 3.316e+01 | optim/grad_norm: 2.579e-01 | optim/update_norm: 1.203e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
